year,Name,Title,ActorId,ActorId,MovieId,Country,genre
2003,Ben Affleck,Daredevil,1565,1565,501,Asia,#N/A
1999,Ben Affleck,Dogma,1565,1565,17,America,Comedy
#N/A,Ben Affleck,Gone Girl,1565,1565,758,#N/A,Drama
1997,Ben Affleck,Good Will Hunting,1565,1565,754,America,Romance
2001,Ben Affleck,Pearl Harbor,1565,1565,239,Asia,Drama
2016,Ben Affleck,The Accountant,1565,1565,921,America,Drama
2010,Ben Affleck,The Town,1565,1565,843,America,Drama
2008,Ben Barnes,The Chronicles of Narnia: Prince Caspian,754,754,354,America,#N/A
2008,Ben Burtt,WALL·E,42,42,143,Other countries,Animation
2007,Ben Foster,3:10 to Yuma,45,45,950,Asia,Drama
2016,Ben Foster,Hell or High Water,45,45,602,America,Drama
2013,Ben Foster,Lone Survivor,45,45,351,America,Biography
2016,Ben Foster,Warcraft,45,45,735,Asia,#N/A
1982,Ben Kingsley,Gandhi,1399,1399,461,Other countries,Biography
2011,Ben Kingsley,Hugo,1399,1399,538,America,Drama
2006,Ben Kingsley,Lucky Number Slevin,1399,1399,211,America,Drama
2010,Ben Kingsley,Prince of Persia: The Sands of Time,1399,1399,991,America,#N/A
1993,Ben Kingsley,Schindler's List,1399,1399,312,America,Biography
2010,Ben Kingsley,Shutter Island,1399,1399,394,America,#N/A
2012,Ben Kingsley,The Dictator,1399,1399,422,America,Comedy
2016,Ben Kingsley,The Jungle Book,1399,1399,544,America,Drama
1998,Ben Shenkman,Pi,276,276,815,Other countries,Drama
2004,Ben Stiller,Dodgeball: A True Underdog Story,1743,1743,445,America,Comedy
2005,Ben Stiller,Madagascar,1743,1743,835,America,Comedy
2008,Ben Stiller,Madagascar: Escape 2 Africa,1743,1743,856,Asia,Comedy
2004,Ben Stiller,Meet the Fockers,1743,1743,8,Asia,Romance
2000,Ben Stiller,Meet the Parents,1743,1743,188,America,Romance
2006,Ben Stiller,Night at the Museum,1743,1743,2,America,Comedy
2009,Ben Stiller,Night at the Museum: Battle of the Smithsonian,1743,1743,271,America,Comedy
2001,Ben Stiller,The Royal Tenenbaums,1743,1743,873,America,Comedy
2013,Ben Stiller,The Secret Life of Walter Mitty,1743,1743,148,America,Comedy
1998,Ben Stiller,There's Something About Mary,1743,1743,379,America,Romance
2008,Ben Stiller,Tropic Thunder,1743,1743,539,Asia,Comedy
2001,Ben Stiller,Zoolander,1743,1743,85,America,Comedy
2007,Ben Walker,The Golden Compass,841,841,690,Asia,#N/A
2006,Ben Whishaw,Perfume: The Story of a Murderer,755,755,78,Other countries,Drama
2016,Benedict Cumberbatch,Doctor Strange,882,882,19,America,#N/A
2013,Benedict Cumberbatch,Star Trek Into Darkness,882,882,667,America,#N/A
2014,Benedict Cumberbatch,The Imitation Game,882,882,530,America,Biography
2016,Benedict Wong,Doctor Strange,1383,1383,19,America,#N/A
2003,Benicio Del Toro,21 Grams,1239,1239,595,America,Drama
1998,Benicio Del Toro,Fear and Loathing in Las Vegas,1239,1239,444,Other countries,Comedy
2015,Benicio Del Toro,Sicario,1239,1239,952,America,Drama
2000,Benicio Del Toro,Snatch,1239,1239,704,America,Comedy
2000,Benicio Del Toro,Traffic,1239,1239,904,America,Drama
2013,Benjamin Bratt,Despicable Me 2,825,825,963,America,Comedy
2000,Benjamin Bratt,Miss Congeniality,825,825,301,Asia,Comedy
#N/A,Bérénice Bejo,The Artist,1753,1753,682,#N/A,Romance
1939,Bert Lahr,The Wizard of Oz,1275,1275,546,America,#N/A
1981,Betsy Baker,The Evil Dead,238,238,996,America,#N/A
2005,Beverley Mitchell,Saw II,555,555,152,America,#N/A
1998,Beverly D'Angelo,American History X,1718,1718,81,America,Drama
2007,Beverly Todd,The Bucket List,289,289,795,America,Comedy
2002,Beyoncé,Austin Powers in Goldmember,1002,1002,66,Asia,Comedy
2009,Bill Hader,Cloudy with a Chance of Meatballs,874,874,915,America,Animation
2015,Bill Hader,Inside Out,874,874,686,America,Comedy
2007,Bill Hader,Superbad,874,874,77,America,Comedy
#N/A,Bill McKinney,First Blood,1146,1146,999,#N/A,#N/A
2000,Bill Murray,Charlie's Angels,747,747,713,Other countries,Comedy
2009,Bill Murray,Fantastic Mr. Fox,747,747,240,America,Comedy
#N/A,Bill Murray,Ghost Busters,747,747,672,#N/A,Comedy
#N/A,Bill Murray,Ghostbusters II,747,747,42,#N/A,Comedy
1993,Bill Murray,Groundhog Day,747,747,178,America,Romance
#N/A,Bill Murray,Lost in Translation,747,747,276,#N/A,Drama
2012,Bill Murray,Moonrise Kingdom,747,747,254,America,Comedy
2016,Bill Murray,The Jungle Book,747,747,544,America,Drama
2004,Bill Murray,The Life Aquatic with Steve Zissou,747,747,133,America,Comedy
2013,Bill Nighy,About Time,110,110,523,America,Comedy
2010,Bill Nighy,Harry Potter and the Deathly Hallows: Part 1,110,110,98,America,#N/A
2007,Bill Nighy,Hot Fuzz,110,110,796,America,Comedy
#N/A,Bill Nighy,Underworld: Evolution,110,110,576,#N/A,#N/A
2008,Bill Nighy,Valkyrie,110,110,951,America,Drama
2013,Bill Paxton,2 Guns,1081,1081,932,America,Comedy
1995,Bill Paxton,Apollo 13,1081,1081,703,America,Drama
2014,Bill Paxton,Edge of Tomorrow,1081,1081,378,America,#N/A
2014,Bill Paxton,Nightcrawler,1081,1081,790,Asia,Drama
#N/A,Bill Paxton,True Lies,1081,1081,448,#N/A,Comedy
1996,Bill Paxton,Twister,1081,1081,339,Other countries,Drama
1996,Bill Pullman,Independence Day,1161,1161,840,Other countries,#N/A
2000,Bill Sage,American Psycho,996,996,508,America,Drama
1998,Billy Bob Thornton,Armageddon,279,279,164,America,Sci-Fi
2014,Billy Bob Thornton,The Judge,279,279,677,America,Drama
2003,Billy Boyd,Master and Commander: The Far Side of the World,333,333,822,America,Drama
2008,Billy Burke,Twilight,1185,1185,766,America,Romance
#N/A,Billy Connolly,Brave,1737,1737,51,#N/A,Comedy
2003,Billy Connolly,The Last Samurai,1737,1737,517,America,Drama
2000,Billy Crudup,Almost Famous,1514,1514,488,Other countries,Comedy
2003,Billy Crudup,Big Fish,1514,1514,594,America,Drama
1997,Billy Crudup,Mononoke-hime,1514,1514,184,America,Animation
2013,Billy Crystal,Monsters University,419,419,833,Other countries,Comedy
2001,Billy Crystal,"Monsters, Inc.",419,419,592,Europe,Comedy
1989,Billy Crystal,When Harry Met Sally...,419,419,227,America,Romance
1980,Billy Dee Williams,Star Wars: Episode V - The Empire Strikes Back,973,973,464,America,#N/A
1983,Billy Dee Williams,Star Wars: Episode VI - Return of the Jedi,973,973,565,America,#N/A
#N/A,Billy Gilbert,The Great Dictator,1541,1541,375,#N/A,Comedy
1997,Billy Zane,Titanic,1060,1060,933,America,Romance
#N/A,Blake Lively,Green Lantern,1215,1215,604,#N/A,#N/A
2004,Blythe Danner,Meet the Fockers,498,498,8,Asia,Romance
